Course Code,Course Name,Cupo,NRC,Sección,Créditos,Periodo,Parte de Periodo,Campus,Schedule Table,Cupos Ofrecidos,Cupos Inscritos,Cupos Disponibles
ADMI-1190,SERVICIOS ECOSISTÉMICOS,Sin cupo,65765,04,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1400-1520', 'Fecha Inicio': '.O_402', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Henry Yerly (O)'}]",40,49,-9
ADMI-1190,SERVICIOS ECOSISTÉMICOS,Sin cupo,72949,05,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0630-0750', 'Fecha Inicio': '.RGD_005', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .centro cívico'}]",40,52,-12
ADMI-1203,PLANEACION FINANCIERA,Sin cupo,10131,01,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '1400-1520', 'Salón': '.RGD_202', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.centro cívico'}, {'Día': 'I', 'Hora': '1400-1520', 'Salón': '.SD_802', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. J.M.Santodomingo (SD)'}]",32,49,-17
ADMI-1203,PLANEACION FINANCIERA,Sin cupo,20816,02,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0800-0920', 'Fecha Inicio': '.ML_208', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Mario Laserna (ML)'}]",32,38,-6
ADMI-1203,PLANEACIÓN FINANCIERA (INGLÉS),Sin cupo,12118,03,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': '1100-1220', 'Fecha Inicio': '.ML_515', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Mario Laserna (ML)'}]",32,46,-14
ADMI-1301,PROGRAMACIÓN,1,65778,01,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0930-1050', 'Fecha Inicio': '.SD_203-4', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,39,1
ADMI-1301,PROGRAMACIÓN,1,65779,02,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0800-0920', 'Fecha Inicio': '.RGD_202', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .centro cívico'}]",40,39,1
ADMI-1301,PROGRAMACIÓN,3,66916,03,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0630-0750', 'Fecha Inicio': '.SD_702', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,37,3
ADMI-1301,PROGRAMACIÓN,Sin cupo,65781,04,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0930-1050', 'Fecha Inicio': '.SD_201-2', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,42,-2
ADMI-1301,PROGRAMACIÓN,Sin cupo,66702,05,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': 'V', 'Salón': '1230-1350', 'Fecha Inicio': '.ML_515', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Mario Laserna (ML)'}]",40,40,0
ADMI-1301,PROGRAMACIÓN,Sin cupo,66821,06,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': '0630-0750', 'Fecha Inicio': '.SD_803', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,41,-1
ADMI-1301,PROGRAMACIÓN,Sin cupo,66864,07,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0630-0750', 'Fecha Inicio': '.SD_801', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,43,-3
ADMI-1301,PROGRAMACIÓN,1,73486,08,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1230-1350', 'Fecha Inicio': '.SD_804', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,39,1
ADMI-1301,PROGRAMACIÓN,12,73490,09,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0630-0750', 'Fecha Inicio': '.SD_716', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,28,12
ADMI-1401,TALLER DE HABILIDADES INFORMATICAS,Sin cupo,36663,01,1,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': '1400-1520', 'Salón': '.SD_403', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. J.M.Santodomingo (SD)'}]",21,24,-3
ADMI-1402,TALLER DE HABILIDADES INFORMÁTICAS II,10,69243,01,1,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'J', 'Hora': '0630-0750', 'Salón': '.SD_402', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. J.M.Santodomingo (SD)'}]",22,12,10
ADMI-1403,ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,2,69463,01,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1230-1350', 'Fecha Inicio': '.ML_515', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Mario Laserna (ML)'}]",40,38,2
ADMI-1403,ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,Sin cupo,69458,02,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': '0630-0750', 'Fecha Inicio': '.SD_716', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,44,-4
ADMI-1403,ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,11,69462,03,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': 'V', 'Salón': '0800-0920', 'Fecha Inicio': '.SD_401', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,29,11
ADMI-1403,ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,4,69459,04,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': 'V', 'Salón': '0930-1050', 'Fecha Inicio': '.ML_515', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Mario Laserna (ML)'}]",40,36,4
ADMI-1403,ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,3,69464,05,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': '0800-0920', 'Fecha Inicio': '.RGD_201', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .centro cívico'}]",40,37,3
ADMI-1412,CONTABILIDAD FINANCIERA,Sin cupo,72354,01,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0930-1050', 'Fecha Inicio': '.R_112', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Richard (R)'}]",45,47,-2
ADMI-1412,CONTABILIDAD FINANCIERA,2,72594,02,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': '1100-1220', 'Fecha Inicio': '.Q_307', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Bloque Q'}]",40,38,2
ADMI-1412,CONTABILIDAD FINANCIERA,Sin cupo,72601,03,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0930-1050', 'Fecha Inicio': '.O_403', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-09-18 .Edif. Henry Yerly (O)'}, {'Día': 'J', 'Hora': '0930-1050', 'Salón': '.ML_515', 'Fecha Inicio': '2024-09-19', 'Fecha Fin': '2024-09-19', 'Edificio': '.Edif. Mario Laserna (ML)'}, {'Día': 'M', 'Hora': '0930-1050', 'Salón': '.O_403', 'Fecha Inicio': '2024-09-20', 'Fecha Fin': '2024-09-25', 'Edificio': '.Edif. Henry Yerly (O)'}, {'Día': 'J', 'Hora': '0930-1050', 'Salón': '.ML_515', 'Fecha Inicio': '2024-09-26', 'Fecha Fin': '2024-09-26', 'Edificio': '.Edif. Mario Laserna (ML)'}, {'Día': 'M', 'Hora': '0930-1050', 'Salón': '.O_105', 'Fecha Inicio': '2024-10-08', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Henry Yerly (O)'}, {'Día': 'J', 'Hora': '0930-1050', 'Salón': '.O_403', 'Fecha Inicio': '2024-10-10', 'Fecha Fin': '2024-10-17', 'Edificio': '.Edif. Henry Yerly (O)'}, {'Día': 'J', 'Hora': '0930-1050', 'Salón': '.SD_702', 'Fecha Inicio': '2024-10-24', 'Fecha Fin': '2024-10-24', 'Edificio': '.Edif. J.M.Santodomingo (SD)'}, {'Día': 'J', 'Hora': '0930-1050', 'Salón': '.O_403', 'Fecha Inicio': '2024-10-31', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Henry Yerly (O)'}]",45,47,-2
ADMI-1412,CONTABILIDAD FINANCIERA,Sin cupo,72602,04,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '1400-1520', 'Salón': '.RGD_04', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.centro cívico'}, {'Día': 'I', 'Hora': '1400-1520', 'Salón': '.R_210', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Richard (R)'}]",45,45,0
ADMI-1412,CONTABILIDAD FINANCIERA,1,72603,05,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0800-0920', 'Fecha Inicio': '.W_403', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-09-18 .Edif. Carlos Pacheco Devia(W)'}, {'Día': 'J', 'Hora': '0800-0920', 'Salón': '.ML_207', 'Fecha Inicio': '2024-09-19', 'Fecha Fin': '2024-09-19', 'Edificio': '.Edif. Mario Laserna (ML)'}, {'Día': 'M', 'Hora': '0800-0920', 'Salón': '.W_403', 'Fecha Inicio': '2024-09-20', 'Fecha Fin': '2024-09-25', 'Edificio': '.Edif. Carlos Pacheco Devia(W)'}, {'Día': 'J', 'Hora': '0800-0920', 'Salón': '.ML_207', 'Fecha Inicio': '2024-09-26', 'Fecha Fin': '2024-09-26', 'Edificio': '.Edif. Mario Laserna (ML)'}, {'Día': 'M', 'Hora': 'J', 'Salón': '0800-0920', 'Fecha Inicio': '.W_403', 'Fecha Fin': '2024-09-27', 'Edificio': '2024-10-23 .Edif. Carlos Pacheco Devia(W)'}, {'Día': 'J', 'Hora': '0800-0920', 'Salón': '.ML_207', 'Fecha Inicio': '2024-10-24', 'Fecha Fin': '2024-10-24', 'Edificio': '.Edif. Mario Laserna (ML)'}, {'Día': 'M', 'Hora': 'J', 'Salón': '0800-0920', 'Fecha Inicio': '.W_403', 'Fecha Fin': '2024-10-25', 'Edificio': '2024-11-30 .Edif. Carlos Pacheco Devia(W)'}]",40,39,1
ADMI-1412,CONTABILIDAD FINANCIERA,Sin cupo,72635,06,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': '0930-1220', 'Salón': '.S1_003', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Enrique Cavelier(S1)'}]",42,42,0
ADMI-1412,CONTABILIDAD FINANCIERA,Sin cupo,72639,07,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0630-0750', 'Fecha Inicio': '.RGD_206-7', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .centro cívico'}]",45,45,0
ADMI-1412,CONTABILIDAD FINANCIERA,1,72637,08,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': '0930-1220', 'Salón': '.O_405', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Henry Yerly (O)'}]",42,41,1
ADMI-1412,CONTABILIDAD FINANCIERA,4,73291,09,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': 'V', 'Salón': '0630-0750', 'Fecha Inicio': '.O_305', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Henry Yerly (O)'}]",45,41,4
ADMI-1590,TALLER DE CREATIVIDAD,1,20917,01,1,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'V', 'Hora': '0930-1220', 'Salón': '.AU_401', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Aulas'}]",25,24,1
ADMI-1591,TALLER DE CREATIVIDAD II (CICLO 1 DE 8 SEMANAS),2,69247,01,1,202420,PRIMER CICLO - 8 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'V', 'Hora': '1400-1520', 'Salón': '.AU_207', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-09-28', 'Edificio': '.Edif. Aulas'}]",25,23,2
ADMI-1591,TALLER DE CREATIVIDAD II (CICLO 2 DE 8 SEMANAS),13,72947,02,1,202420,SEGUNDO CICLO - 8 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'V', 'Hora': '1400-1520', 'Salón': '.O_301', 'Fecha Inicio': '2024-10-07', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Henry Yerly (O)'}]",25,12,13
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,11013,01,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '0630-0920', 'Salón': '.AU_302', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Aulas'}]",20,22,-2
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,13920,02,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '0630-0920', 'Salón': '.AU_304', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Aulas'}]",20,20,0
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,11014,03,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '0930-1220', 'Salón': '.AU_302', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Aulas'}]",20,22,-2
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,41973,04,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': '0800-1050', 'Salón': '.SD_405', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. J.M.Santodomingo (SD)'}]",20,21,-1
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,57830,05,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': '1100-1350', 'Salón': '.AU_302', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Aulas'}]",20,22,-2
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,17132,06,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '1400-1650', 'Salón': '.S1_003', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Enrique Cavelier(S1)'}]",20,21,-1
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,18587,07,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': '1530-1820', 'Salón': '.LL_201', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Alberto Lleras (LL)'}]",20,31,-11
ADMI-1602,TALLER DE AUTOCONOCIMIENTO,Sin cupo,55206,08,2,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'I', 'Hora': '1400-1650', 'Salón': '.AU_302', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Aulas'}]",20,20,0
ADMI-1603,COMPORTAMIENTO ORGANIZACIONAL,2,10133,01,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0930-1050', 'Fecha Inicio': '.AU_107', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Aulas'}]",35,33,2
ADMI-1603,COMPORTAMIENTO ORGANIZACIONAL,Sin cupo,23026,02,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': '1400-1520', 'Salón': '.SD_802', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. J.M.Santodomingo (SD)'}, {'Día': 'J', 'Hora': '1400-1520', 'Salón': '.ML_510', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Mario Laserna (ML)'}]",35,42,-7
ADMI-1603,COMPORTAMIENTO ORGANIZACIONAL,3,10134,03,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0800-0920', 'Fecha Inicio': '.W_204', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Carlos Pacheco Devia(W)'}]",35,32,3
ADMI-1603,COMPORTAMIENTO ORGANIZACIONAL,Sin cupo,57859,05,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1100-1220', 'Fecha Inicio': '.W_204', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Carlos Pacheco Devia(W)'}]",35,37,-2
ADMI-1603,COMPORTAMIENTO ORGANIZACIONAL,Sin cupo,70335,06,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1100-1220', 'Fecha Inicio': '.RGD_02', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .centro cívico'}]",35,36,-1
ADMI-1606,COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),Sin cupo,70406,01,2,202420,PRIMER CICLO - 8 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1400-1520', 'Fecha Inicio': '.ML_615', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-09-28 .Edif. Mario Laserna (ML)'}]",40,50,-10
ADMI-1606,COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),Sin cupo,72659,02,2,202420,PRIMER CICLO - 8 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1530-1650', 'Fecha Inicio': '.O_204', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-09-28 .Edif. Henry Yerly (O)'}]",40,47,-7
