Curso,Cupo,NRC,Sección,Créditos,Periodo,Parte de Periodo,Instructor Principal,Lugar,Ofrecidos,Inscritos,Disponibles,Días,Horas,Salón,Fecha inicio,Fecha fin,Edificio
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,75329,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,J,1400-1520,.SD_702,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,2,75781,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,43,2,L,0930-1050,.SD_716,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,2,75781,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,43,2,I,0930-1050,.SD_716,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,4,76057,7,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,50,46,4,L,0930-1050,.SD_205-6,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,4,76057,7,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,50,46,4,I,0930-1050,.SD_205-6,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1301 PROGRAMACIÓN,Sin cupo,65778,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,47,-4,M,0930-1050,.SD_702,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1301 PROGRAMACIÓN,Sin cupo,65778,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,47,-4,J,0930-1050,.ML_515,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1301 PROGRAMACIÓN,Sin cupo,65779,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,46,-3,M,0800-0920,.ML_516,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1301 PROGRAMACIÓN,Sin cupo,65779,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,46,-3,J,0800-0920,.ML_516,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1301 PROGRAMACIÓN,Sin cupo,65781,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,50,-7,L,0800-0920,.SD_716,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1301 PROGRAMACIÓN,Sin cupo,65781,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,50,-7,I,0800-0920,.SD_716,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1301 PROGRAMACIÓN,Sin cupo,66702,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,48,-5,M,1230-1350,.ML_515,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1301 PROGRAMACIÓN,Sin cupo,66702,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,43,48,-5,J,1230-1350,.ML_515,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1301 PROGRAMACIÓN,Sin cupo,73486,6,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,0,46,-46,I,0630-0750,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1301 PROGRAMACIÓN,Sin cupo,73486,6,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,0,46,-46,V,0630-0750,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1301 PROGRAMACIÓN,Sin cupo,66864,7,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,0,47,-47,M,0630-0750,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1301 PROGRAMACIÓN,Sin cupo,66864,7,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,0,47,-47,J,0630-0750,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1401 TALLER DE HABILIDADES INFORMATICAS,Sin cupo,36663,1,1,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,26,-6,M,1400-1520,.SD_403,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1402 TALLER DE HABILIDADES INFORMÁTICAS II,18,69243,1,1,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,2,18,L,0630-0750,.SD_403,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,2,75552,10,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,43,2,L,0800-0920,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,2,75552,10,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,43,2,I,0800-0920,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,1,69458,2,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,44,1,I,0800-0920,.SD_715,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,1,69458,2,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,44,1,V,0800-0920,.SD_715,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,15,69462,3,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,30,15,I,0930-1050,.SD_801,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,15,69462,3,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,30,15,V,0930-1050,.SD_801,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,9,69459,4,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,36,9,M,0630-0750,.SD_402,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,9,69459,4,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,36,9,J,0630-0750,.SD_402,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,Sin cupo,75548,7,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,35,0,M,0800-0920,.ML_207,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,Sin cupo,75548,7,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,35,0,J,0800-0920,.ML_207,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,1,75550,9,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,44,1,L,0930-1050,.SD_703,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,1,75550,9,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,44,1,I,0930-1050,.SD_703,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72354,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,M,0930-1050,.O_204,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72354,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,J,0930-1050,.O_204,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1412 CONTABILIDAD FINANCIERA,10,75657,10,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,35,10,I,0630-0750,.SD_802,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1412 CONTABILIDAD FINANCIERA,10,75657,10,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,35,10,V,0630-0750,.SD_802,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72594,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,L,0930-1050,.B_401,2025-01-21,2025-05-24,.Bloque B
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72594,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,I,0930-1050,.ML_603,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72601,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,46,-1,M,0630-0750,.RGD_206-7,2025-01-21,2025-05-24,.centro cívico
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72601,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,46,-1,J,0630-0750,.RGD_206-7,2025-01-21,2025-05-24,.centro cívico
ADMI-1412 CONTABILIDAD FINANCIERA,3,72602,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,42,3,L,1400-1520,.O_403,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1412 CONTABILIDAD FINANCIERA,3,72602,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,42,3,I,1400-1520,.O_403,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72603,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,L,0930-1050,.O_402,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1412 CONTABILIDAD FINANCIERA,Sin cupo,72603,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,I,0930-1050,.O_402,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1412 CONTABILIDAD FINANCIERA,1,72639,7,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,44,1,L,1100-1220,.R_113,2025-01-21,2025-05-24,.Edif. Richard (R)
ADMI-1412 CONTABILIDAD FINANCIERA,1,72639,7,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,44,1,I,1100-1220,.R_113,2025-01-21,2025-05-24,.Edif. Richard (R)
ADMI-1412 CONTABILIDAD FINANCIERA,1,72637,8,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,44,1,M,0800-1050,.ML_511,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1590 TALLER DE CREATIVIDAD,11,20917,1,1,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,9,11,V,0630-0920,.SD_803,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1591 TALLER DE CREATIVIDAD II (CICLO 1 DE 8 SEMANAS),Sin cupo,69247,1,1,202510,PRIMER CICLO - 8 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,20,0,I,1700-1820,.O_104,2025-01-21,2025-03-15,.Edif. Henry Yerly (O)
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,74965,1,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,29,-9,V,0800-1050,.AU_306,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75707,10,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,0,29,-29,M,0800-1050,.AU_306,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75699,2,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,25,-5,L,1100-1350,.SD_205-6,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75700,3,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,25,-5,J,1100-1350,.RGD_001,2025-01-21,2025-05-24,.centro cívico
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75701,4,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,26,-6,L,1100-1350,.RGD_106-7,2025-01-21,2025-05-24,.centro cívico
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75702,5,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,29,-9,V,0930-1220,.AU_207,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75703,6,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,27,-7,V,1400-1650,.AU_306,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75704,7,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,29,-9,J,1400-1650,.SD_205-6,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75705,8,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,21,-1,I,0930-1220,.AU_306,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),Sin cupo,75706,9,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,0,23,-23,I,1400-1650,.AU_306,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,11013,1,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,22,-2,L,0630-0920,.AU_107,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,75709,10,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,22,-2,L,0930-1220,.LL_106,2025-01-21,2025-05-24,.Edif. Alberto Lleras (LL)
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,13920,2,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,22,-2,L,0630-0920,.C_210,2025-01-21,2025-05-24,.Bloque C
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,11014,3,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,20,0,L,0930-1220,.AU_302,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,41973,4,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,21,-1,I,0800-1050,.AU_302,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,57830,5,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,21,-1,I,1400-1650,.AU_302,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,17132,6,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,21,-1,L,1400-1650,.AU_302,2025-01-21,2025-02-01,.Edif. Aulas
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,Sin cupo,17132,6,2,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,20,21,-1,L,1400-1650,.LL_302,2025-02-03,2025-05-24,.Edif. Alberto Lleras (LL)
