Curso,NRC,Periodo,Edificio,Salón,Días,Horas,Inscritos
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),75215,202510,.Edif. J.M.Santodomingo (SD),.SD_803,M,0930-1050,38
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),75215,202510,.Edif. J.M.Santodomingo (SD),.SD_803,J,0930-1050,38
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),75325,202510,.Edif. Enrique Cavelier(S1),.S1_202,L,1100-1220,32
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),75325,202510,.Edif. Enrique Cavelier(S1),.S1_202,I,1100-1220,32
ADMI-1190 SERVICIOS ECOSISTÉMICOS,66703,202510,.Bloque Q,.Q_405,M,0800-0920,50
ADMI-1190 SERVICIOS ECOSISTÉMICOS,66703,202510,.Edif. Henry Yerly (O),.O_303,J,0800-0920,50
ADMI-1190 SERVICIOS ECOSISTÉMICOS,64012,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,M,0930-1050,50
ADMI-1190 SERVICIOS ECOSISTÉMICOS,64012,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,J,0930-1050,50
ADMI-1190 SERVICIOS ECOSISTÉMICOS,27847,202510,.centro cívico,.RGD_05,I,0630-0750,49
ADMI-1190 SERVICIOS ECOSISTÉMICOS,27847,202510,.centro cívico,.RGD_05,V,0630-0750,49
ADMI-1190 SERVICIOS ECOSISTÉMICOS,65765,202510,.centro cívico,.RGD_001,M,1400-1520,38
ADMI-1190 SERVICIOS ECOSISTÉMICOS,65765,202510,.Edif. J.M.Santodomingo (SD),.SD_806,J,1400-1520,38
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,10131,202510,.Edif. J.M.Santodomingo (SD),.SD_401,L,1100-1220,47
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,10131,202510,.Edif. J.M.Santodomingo (SD),.SD_401,I,1100-1220,47
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,20816,202510,.Edif. Mario Laserna (ML),.ML_515,M,1100-1220,49
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,20816,202510,.Edif. Mario Laserna (ML),.ML_515,J,1100-1220,49
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,75327,202510,.Edif. J.M.Santodomingo (SD),.SD_402,L,0930-1050,49
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,75327,202510,.Edif. J.M.Santodomingo (SD),.SD_402,I,0930-1050,49
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,75329,202510,.Edif. J.M.Santodomingo (SD),.SD_702,M,1400-1520,47
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,75329,202510,.Edif. J.M.Santodomingo (SD),.SD_702,J,1400-1520,47
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,75781,202510,.Edif. J.M.Santodomingo (SD),.SD_716,L,0930-1050,43
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,75781,202510,.Edif. J.M.Santodomingo (SD),.SD_716,I,0930-1050,43
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,76057,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,L,0930-1050,46
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,76057,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,I,0930-1050,46
ADMI-1301 PROGRAMACIÓN,65778,202510,.Edif. J.M.Santodomingo (SD),.SD_702,M,0930-1050,47
ADMI-1301 PROGRAMACIÓN,65778,202510,.Edif. Mario Laserna (ML),.ML_515,J,0930-1050,47
ADMI-1301 PROGRAMACIÓN,65779,202510,.Edif. Mario Laserna (ML),.ML_516,M,0800-0920,46
ADMI-1301 PROGRAMACIÓN,65779,202510,.Edif. Mario Laserna (ML),.ML_516,J,0800-0920,46
ADMI-1301 PROGRAMACIÓN,65781,202510,.Edif. J.M.Santodomingo (SD),.SD_716,L,0800-0920,50
ADMI-1301 PROGRAMACIÓN,65781,202510,.Edif. J.M.Santodomingo (SD),.SD_716,I,0800-0920,50
ADMI-1301 PROGRAMACIÓN,66702,202510,.Edif. Mario Laserna (ML),.ML_515,M,1230-1350,48
ADMI-1301 PROGRAMACIÓN,66702,202510,.Edif. Mario Laserna (ML),.ML_515,J,1230-1350,48
ADMI-1301 PROGRAMACIÓN,73486,202510,.Edif. J.M.Santodomingo (SD),.SD_401,I,0630-0750,46
ADMI-1301 PROGRAMACIÓN,73486,202510,.Edif. J.M.Santodomingo (SD),.SD_401,V,0630-0750,46
ADMI-1301 PROGRAMACIÓN,66864,202510,.Edif. J.M.Santodomingo (SD),.SD_401,M,0630-0750,47
ADMI-1301 PROGRAMACIÓN,66864,202510,.Edif. J.M.Santodomingo (SD),.SD_401,J,0630-0750,47
ADMI-1401 TALLER DE HABILIDADES INFORMATICAS,36663,202510,.Edif. J.M.Santodomingo (SD),.SD_403,M,1400-1520,26
ADMI-1402 TALLER DE HABILIDADES INFORMÁTICAS II,69243,202510,.Edif. J.M.Santodomingo (SD),.SD_403,L,0630-0750,2
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,75552,202510,.Edif. J.M.Santodomingo (SD),.SD_401,L,0800-0920,43
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,75552,202510,.Edif. J.M.Santodomingo (SD),.SD_401,I,0800-0920,43
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,69458,202510,.Edif. J.M.Santodomingo (SD),.SD_715,I,0800-0920,44
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,69458,202510,.Edif. J.M.Santodomingo (SD),.SD_715,V,0800-0920,44
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,69462,202510,.Edif. J.M.Santodomingo (SD),.SD_801,I,0930-1050,30
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,69462,202510,.Edif. J.M.Santodomingo (SD),.SD_801,V,0930-1050,30
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,69459,202510,.Edif. J.M.Santodomingo (SD),.SD_402,M,0630-0750,36
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,69459,202510,.Edif. J.M.Santodomingo (SD),.SD_402,J,0630-0750,36
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,75548,202510,.Edif. Mario Laserna (ML),.ML_207,M,0800-0920,35
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,75548,202510,.Edif. Mario Laserna (ML),.ML_207,J,0800-0920,35
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,75550,202510,.Edif. J.M.Santodomingo (SD),.SD_703,L,0930-1050,44
ADMI-1403 ANÁLISIS DE DATOS CON HOJAS DE CÁLCULO,75550,202510,.Edif. J.M.Santodomingo (SD),.SD_703,I,0930-1050,44
ADMI-1412 CONTABILIDAD FINANCIERA,72354,202510,.Edif. Henry Yerly (O),.O_204,M,0930-1050,47
ADMI-1412 CONTABILIDAD FINANCIERA,72354,202510,.Edif. Henry Yerly (O),.O_204,J,0930-1050,47
ADMI-1412 CONTABILIDAD FINANCIERA,75657,202510,.Edif. J.M.Santodomingo (SD),.SD_802,I,0630-0750,35
ADMI-1412 CONTABILIDAD FINANCIERA,75657,202510,.Edif. J.M.Santodomingo (SD),.SD_802,V,0630-0750,35
ADMI-1412 CONTABILIDAD FINANCIERA,72594,202510,.Bloque B,.B_401,L,0930-1050,47
ADMI-1412 CONTABILIDAD FINANCIERA,72594,202510,.Edif. Mario Laserna (ML),.ML_603,I,0930-1050,47
ADMI-1412 CONTABILIDAD FINANCIERA,72601,202510,.centro cívico,.RGD_206-7,M,0630-0750,46
ADMI-1412 CONTABILIDAD FINANCIERA,72601,202510,.centro cívico,.RGD_206-7,J,0630-0750,46
ADMI-1412 CONTABILIDAD FINANCIERA,72602,202510,.Edif. Henry Yerly (O),.O_403,L,1400-1520,42
ADMI-1412 CONTABILIDAD FINANCIERA,72602,202510,.Edif. Henry Yerly (O),.O_403,I,1400-1520,42
ADMI-1412 CONTABILIDAD FINANCIERA,72603,202510,.Edif. Henry Yerly (O),.O_402,L,0930-1050,47
ADMI-1412 CONTABILIDAD FINANCIERA,72603,202510,.Edif. Henry Yerly (O),.O_402,I,0930-1050,47
ADMI-1412 CONTABILIDAD FINANCIERA,72639,202510,.Edif. Richard (R),.R_113,L,1100-1220,44
ADMI-1412 CONTABILIDAD FINANCIERA,72639,202510,.Edif. Richard (R),.R_113,I,1100-1220,44
ADMI-1412 CONTABILIDAD FINANCIERA,72637,202510,.Edif. Mario Laserna (ML),.ML_511,M,0800-1050,44
ADMI-1590 TALLER DE CREATIVIDAD,20917,202510,.Edif. J.M.Santodomingo (SD),.SD_803,V,0630-0920,9
ADMI-1591 TALLER DE CREATIVIDAD II (CICLO 1 DE 8 SEMANAS),69247,202510,.Edif. Henry Yerly (O),.O_104,I,1700-1820,20
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),74965,202510,.Edif. Aulas,.AU_306,V,0800-1050,29
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75707,202510,.Edif. Aulas,.AU_306,M,0800-1050,29
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75699,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,L,1100-1350,25
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75700,202510,.centro cívico,.RGD_001,J,1100-1350,25
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75701,202510,.centro cívico,.RGD_106-7,L,1100-1350,26
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75702,202510,.Edif. Aulas,.AU_207,V,0930-1220,29
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75703,202510,.Edif. Aulas,.AU_306,V,1400-1650,27
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75704,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,J,1400-1650,29
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75705,202510,.Edif. Aulas,.AU_306,I,0930-1220,21
ADMI-1592 TALLER DE CREATIVIDAD (REFORM.),75706,202510,.Edif. Aulas,.AU_306,I,1400-1650,23
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,11013,202510,.Edif. Aulas,.AU_107,L,0630-0920,22
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,75709,202510,.Edif. Alberto Lleras (LL),.LL_106,L,0930-1220,22
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,13920,202510,.Bloque C,.C_210,L,0630-0920,22
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,11014,202510,.Edif. Aulas,.AU_302,L,0930-1220,20
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,41973,202510,.Edif. Aulas,.AU_302,I,0800-1050,21
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,57830,202510,.Edif. Aulas,.AU_302,I,1400-1650,21
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,17132,202510,.Edif. Aulas,.AU_302,L,1400-1650,21
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,17132,202510,.Edif. Alberto Lleras (LL),.LL_302,L,1400-1650,21
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,18587,202510,.Edif. Alberto Lleras (LL),.LL_106,M,1530-1820,24
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,55206,202510,.Edif. Aulas,.AU_304,I,1700-1950,19
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,75708,202510,.Bloque C,.C_204,I,1100-1350,22
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,75708,202510,.Edif. Aulas,.AU_401,I,1100-1350,22
ADMI-1602 TALLER DE AUTOCONOCIMIENTO,75708,202510,.Bloque C,.C_204,I,1100-1350,22
ADMI-1603 COMPORTAMIENTO ORGANIZACIONAL,10133,202510,.Edif. Henry Yerly (O),.O_405,M,0930-1050,21
ADMI-1603 COMPORTAMIENTO ORGANIZACIONAL,10133,202510,.Edif. Henry Yerly (O),.O_405,J,0930-1050,21
ADMI-1603 COMPORTAMIENTO ORGANIZACIONAL,23026,202510,.Bloque Q,.Q_307,M,1100-1220,36
ADMI-1603 COMPORTAMIENTO ORGANIZACIONAL,23026,202510,.Bloque Q,.Q_307,J,1100-1220,36
ADMI-1603 COMPORTAMIENTO ORGANIZACIONAL,23026,202510,.Edif. Henry Yerly (O),.O_401,M,1100-1220,36
ADMI-1603 COMPORTAMIENTO ORGANIZACIONAL,23026,202510,.Edif. Mario Laserna (ML),.ML_509,J,1100-1220,36
ADMI-1603 COMPORTAMIENTO ORGANIZACIONAL,23026,202510,.Bloque B,.B_201,J,1100-1220,36
ADMI-1606 COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),70406,202510,.Edif. Mario Laserna (ML),.ML_510,I,1100-1220,49
ADMI-1606 COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),70406,202510,.Edif. Mario Laserna (ML),.ML_510,V,1100-1220,49
ADMI-1606 COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),72659,202510,.centro cívico,.RGD_308-9,I,1400-1520,52
ADMI-1606 COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),72659,202510,.centro cívico,.RGD_308-9,V,1400-1520,52
ADMI-1606 COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),72664,202510,.Edif. Mario Laserna (ML),.ML_512,I,1100-1220,52
ADMI-1606 COMP. ORGANIZACIONAL (REFORM) (CICLO 1 DE 8 SEMANAS),72664,202510,.Edif. Mario Laserna (ML),.ML_512,V,1100-1220,52
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),33361,202510,.Edif. Carlos Pacheco Devia(W),.W_404,L,0930-1050,47
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),33361,202510,.Edif. Carlos Pacheco Devia(W),.W_404,I,0930-1050,47
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),33678,202510,.Edif. Richard (R),.R_210,M,0800-0920,49
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),33678,202510,.Edif. Richard (R),.R_210,J,0800-0920,49
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),65771,202510,.Bloque Q,.Q_306,L,0930-1050,45
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),65771,202510,.Bloque Q,.Q_306,J,0930-1050,45
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),45202,202510,.Edif. Enrique Cavelier(S1),.S1_003,I,0930-1050,45
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),45202,202510,.Edif. Enrique Cavelier(S1),.S1_003,V,0930-1050,45
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),45203,202510,.Edif. Mario Laserna (ML),.ML_607,M,1530-1650,45
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),45203,202510,.Edif. Mario Laserna (ML),.ML_607,J,1530-1650,45
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),65772,202510,.Edif. Henry Yerly (O),.O_203,L,0800-0920,50
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),65772,202510,.Edif. Henry Yerly (O),.O_203,I,0800-0920,50
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),75710,202510,.centro cívico,.RGD_312-13,I,0800-0920,45
ADMI-2104 HISTORIA DEL DESARROLLO EMPRESARIAL COLOMBIANO (TIPO E),75710,202510,.centro cívico,.RGD_312-13,V,0800-0920,45
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,75711,202510,.Bloque Q,.Q_307,L,1100-1220,38
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,75711,202510,.Bloque Q,.Q_307,I,1100-1220,38
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,11216,202510,.centro cívico,.RGD_110-11,L,1530-1650,38
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,11216,202510,.centro cívico,.RGD_110-11,I,1530-1650,38
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,39787,202510,.Edif. J.M.Santodomingo (SD),.SD_806,L,1400-1520,42
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,39787,202510,.Edif. Henry Yerly (O),.O_405,I,1400-1520,42
ADMI-2106 GERENCIA SOSTENIBIL. (INGLÉS),51766,202510,.Edif. Henry Yerly (O),.O_405,M,1400-1650,41
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,69466,202510,.Edif. J.M.Santodomingo (SD),.SD_801,L,1230-1350,52
ADMI-2106 GERENCIA DE LA SOSTENIBILIDAD,69466,202510,.Edif. J.M.Santodomingo (SD),.SD_804,I,1230-1350,52
ADMI-2107 ELECTIVA GERENCIA DE RECURSOS HUMANOS,70650,202510,.Edif. Mario Laserna (ML),.ML_608,I,1230-1350,42
ADMI-2107 ELECTIVA GERENCIA DE RECURSOS HUMANOS,70650,202510,.Edif. Mario Laserna (ML),.ML_608,V,1230-1350,42
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,66704,202510,.centro cívico,.RGD_203,L,0930-1050,47
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,66704,202510,.centro cívico,.RGD_203,I,0930-1050,47
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,36664,202510,.Edif. J.M.Santodomingo (SD),.SD_702,L,1100-1220,32
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,36664,202510,.Edif. J.M.Santodomingo (SD),.SD_702,I,1100-1220,32
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,18596,202510,.Edif. J.M.Santodomingo (SD),.SD_401,M,0930-1050,43
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,18596,202510,.Edif. J.M.Santodomingo (SD),.SD_401,J,0930-1050,43
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,31092,202510,.Edif. Mario Laserna (ML),.ML_514,I,0930-1050,48
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN,31092,202510,.Edif. Mario Laserna (ML),.ML_514,V,0930-1050,48
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN (INGLÉS),64014,202510,.centro cívico,.RGD_201,L,1100-1220,47
ADMI-2204 FINANZAS 2: DECISIONES DE INVERSIÓN (INGLÉS),64014,202510,.centro cívico,.RGD_201,I,1100-1220,47
ADMI-2205 FINANZAS 3: FINANZAS CORPORATIVAS,70651,202510,.Edif. J.M.Santodomingo (SD),.SD_307,M,0930-1050,18
ADMI-2205 FINANZAS 3: FINANZAS CORPORATIVAS,70651,202510,.Edif. J.M.Santodomingo (SD),.SD_307,J,0930-1050,18
ADMI-2207 COLOMBIA Y SUS INSTITUCIONES,12119,202510,.Edif. J.M.Santodomingo (SD),.SD_703,L,1400-1520,16
ADMI-2207 COLOMBIA Y SUS INSTITUCIONES,12119,202510,.Edif. J.M.Santodomingo (SD),.SD_703,M,1400-1520,16
ADMI-2301 FUNDAMENTOS DE MERCADEO,31094,202510,.centro cívico,.RGD_201,L,0630-0750,46
ADMI-2301 FUNDAMENTOS DE MERCADEO,31094,202510,.centro cívico,.RGD_201,I,0630-0750,46
ADMI-2301 FUNDAMENTOS DE MERCADEO,75713,202510,.Edif. Alberto Lleras (LL),.LL_204,L,1100-1220,45
ADMI-2301 FUNDAMENTOS DE MERCADEO,75713,202510,.Edif. Alberto Lleras (LL),.LL_204,I,1100-1220,45
ADMI-2301 FUNDAMENTOS DE MERCADEO,75714,202510,.centro cívico,.RGD_201,L,0930-1050,49
ADMI-2301 FUNDAMENTOS DE MERCADEO,75714,202510,.centro cívico,.RGD_201,I,0930-1050,49
ADMI-2301 FUNDAMENTOS MERCADEO,13604,202510,.Edif. J.M.Santodomingo (SD),.SD_805,M,1100-1220,46
ADMI-2301 FUNDAMENTOS MERCADEO,13604,202510,.Edif. J.M.Santodomingo (SD),.SD_805,J,1100-1220,46
ADMI-2301 FUNDAMENTOS MERCADEO,39782,202510,.Edif. J.M.Santodomingo (SD),.SD_203-4,M,1400-1520,39
ADMI-2301 FUNDAMENTOS MERCADEO,39782,202510,.Edif. J.M.Santodomingo (SD),.SD_203-4,J,1400-1520,39
ADMI-2301 FUNDAMENTOS DE MERCADEO,25473,202510,.Edif. Alberto Lleras (LL),.LL_204,I,0930-1050,44
ADMI-2301 FUNDAMENTOS DE MERCADEO,25473,202510,.Edif. Alberto Lleras (LL),.LL_204,V,0930-1050,44
ADMI-2301 FUNDAMENTOS DE MERCADEO,40034,202510,.Edif. Mario Laserna (ML),.ML_606,I,1100-1220,41
ADMI-2301 FUNDAMENTOS DE MERCADEO,40034,202510,.Edif. Enrique Cavelier(S1),.S1_003,V,1100-1220,41
ADMI-2301 FUNDAMENTOS DE MERCADEO,64015,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,L,0630-0750,43
ADMI-2301 FUNDAMENTOS DE MERCADEO,64015,202510,.Edif. J.M.Santodomingo (SD),.SD_205-6,I,0630-0750,43
ADMI-2301 FUNDAMENTOS DE MERCADEO,66980,202510,.Bloque C,.C_209,M,1100-1220,43
ADMI-2301 FUNDAMENTOS DE MERCADEO,66980,202510,.Edif. Enrique Cavelier(S1),.S1_003,J,1100-1220,43
ADMI-2301 FUNDAMENTOS DE MERCADEO,66980,202510,.Edif. Henry Yerly (O),.O_401,J,1100-1220,43
ADMI-2301 FUNDAMENTOS DE MERCADEO,58893,202510,.Bloque Q,.Q_306,I,1400-1520,42
ADMI-2301 FUNDAMENTOS DE MERCADEO,58893,202510,.Bloque Q,.Q_306,V,1400-1520,42
ADMI-2301 FUNDAMENTOS DE MERCADEO,75712,202510,.Edif. Mario Laserna (ML),.ML_511,L,0630-0750,39
ADMI-2301 FUNDAMENTOS DE MERCADEO,75712,202510,.Edif. Mario Laserna (ML),.ML_511,I,0630-0750,39
ADMI-2302 INVESTIGACION DE MERCADOS,66705,202510,.Edif. J.M.Santodomingo (SD),.SD_201-2,L,1400-1520,42
ADMI-2302 INVESTIGACION DE MERCADOS,66705,202510,.Edif. J.M.Santodomingo (SD),.SD_201-2,I,1400-1520,42
ADMI-2302 INVESTIGACION DE MERCADOS,10180,202510,.Edif. J.M.Santodomingo (SD),.SD_201-2,L,1100-1220,51
ADMI-2302 INVESTIGACION DE MERCADOS,10180,202510,.Edif. J.M.Santodomingo (SD),.SD_201-2,I,1100-1220,51
ADMI-2302 INVESTIGACION DE MERCADOS,55202,202510,.Edif. Mario Laserna (ML),.ML_512,L,1400-1520,44
ADMI-2302 INVESTIGACION DE MERCADOS,55202,202510,.Edif. Mario Laserna (ML),.ML_512,I,1400-1520,44
ADMI-2403 OPERACIONES Y LOGISTICA,11122,202510,.Edif. Henry Yerly (O),.O_203,L,0930-1050,35
ADMI-2403 OPERACIONES Y LOGISTICA,11122,202510,.Edif. Henry Yerly (O),.O_203,I,0930-1050,35
ADMI-2403 OPERACIONES Y LOGIST. (INGLES),13556,202510,.Edif. Henry Yerly (O),.O_301,M,1230-1350,45
ADMI-2403 OPERACIONES Y LOGIST. (INGLES),13556,202510,.Edif. Henry Yerly (O),.O_301,J,1230-1350,45
ADMI-2403 OPERACIONES Y LOGIST. (INGLES),13556,202510,.Edif. J.M.Santodomingo (SD),.SD_803,M,1230-1350,45
ADMI-2403 OPERACIONES Y LOGIST. (INGLES),13556,202510,.Edif. J.M.Santodomingo (SD),.SD_803,J,1230-1350,45
ADMI-2403 OPERACIONES Y LOGISTICA,49249,202510,.Edif. Mario Laserna (ML),.ML_516,M,0930-1050,39
ADMI-2403 OPERACIONES Y LOGISTICA,49249,202510,.Edif. Mario Laserna (ML),.ML_516,J,0930-1050,39
ADMI-2403 OPERACIONES Y LOGISTICA,75715,202510,.Edif. Mario Laserna (ML),.ML_614,M,1100-1220,45
ADMI-2403 OPERACIONES Y LOGISTICA,75715,202510,.Edif. Mario Laserna (ML),.ML_614,J,1100-1220,45
ADMI-2403 OPERACIONES Y LOGISTICA,75716,202510,.Edif. Alberto Lleras (LL),.LL_204,M,0800-0920,43
ADMI-2403 OPERACIONES Y LOGISTICA,75716,202510,.Edif. Alberto Lleras (LL),.LL_204,J,0800-0920,43
ADMI-2421 ELEC. GESTIÓN DE COSTOS EN PRODUCTOS Y SERVICIOS,65774,202510,.centro cívico,.RGD_02,L,0930-1050,22
