Curso,NRC,Edificio,Días,Inscritos,Rango de Horas,Index,_6
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),27931,AU,I,19,"(7.0, 7.5)",5.0,"(6, 8)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),27931,AU,I,19,"(7.5, 8.0)",5.0,"(6, 8)"
LENG-1158 ENGLISH 08 - WRITING 1 (CICLO 2 DE 8 SEMANAS),65919,AU,I,18,"(6.5, 7.0)",6.0,"(6, 8)"
LENG-1158 ENGLISH 08 - WRITING 1 (CICLO 2 DE 8 SEMANAS),65919,AU,I,18,"(7.0, 7.5)",6.0,"(6, 8)"
LENG-1158 ENGLISH 08 - WRITING 1 (CICLO 2 DE 8 SEMANAS),65919,AU,I,18,"(7.5, 8.0)",6.0,"(6, 8)"
LENG-1159 ENGLISH 09A WRITING 2 - FOR SCIENCE AND ENGINEERING (CICLO 2 DE 8 SEMANAS),62956,AU,I,18,"(6.5, 7.0)",7.0,"(6, 8)"
LENG-1159 ENGLISH 09A WRITING 2 - FOR SCIENCE AND ENGINEERING (CICLO 2 DE 8 SEMANAS),62956,AU,I,18,"(7.0, 7.5)",7.0,"(6, 8)"
LENG-1159 ENGLISH 09A WRITING 2 - FOR SCIENCE AND ENGINEERING (CICLO 2 DE 8 SEMANAS),62956,AU,I,18,"(7.5, 8.0)",7.0,"(6, 8)"
LENG-1159 ENGLISH 09A WRITING 2 - FOR SCIENCE AND ENGINEERING (CICLO 1 DE 8 SEMANAS),28023,AU,I,24,"(6.5, 7.0)",8.0,"(6, 8)"
LENG-1159 ENGLISH 09A WRITING 2 - FOR SCIENCE AND ENGINEERING (CICLO 1 DE 8 SEMANAS),28023,AU,I,24,"(7.0, 7.5)",8.0,"(6, 8)"
LENG-1159 ENGLISH 09A WRITING 2 - FOR SCIENCE AND ENGINEERING (CICLO 1 DE 8 SEMANAS),28023,AU,I,24,"(7.5, 8.0)",8.0,"(6, 8)"
LENG-1160 ENGLISH 09B WRITING 2 - FOR HUMANITIES AND SOCIAL SCIENCE (CICLO 1 DE 8 SEMANAS),28031,AU,I,17,"(6.5, 7.0)",9.0,"(6, 8)"
LENG-1160 ENGLISH 09B WRITING 2 - FOR HUMANITIES AND SOCIAL SCIENCE (CICLO 1 DE 8 SEMANAS),28031,AU,I,17,"(7.0, 7.5)",9.0,"(6, 8)"
LENG-1160 ENGLISH 09B WRITING 2 - FOR HUMANITIES AND SOCIAL SCIENCE (CICLO 1 DE 8 SEMANAS),28031,AU,I,17,"(7.5, 8.0)",9.0,"(6, 8)"
LENG-1161 ENGLISH 10A SPEAKING 2 FOR ACADEMIC PURPOSES (CICLO 2 DE 8 SEMANAS),57357,AU,I,12,"(6.5, 7.0)",10.0,"(6, 8)"
LENG-1161 ENGLISH 10A SPEAKING 2 FOR ACADEMIC PURPOSES (CICLO 2 DE 8 SEMANAS),57357,AU,I,12,"(7.0, 7.5)",10.0,"(6, 8)"
LENG-1161 ENGLISH 10A SPEAKING 2 FOR ACADEMIC PURPOSES (CICLO 2 DE 8 SEMANAS),57357,AU,I,12,"(7.5, 8.0)",10.0,"(6, 8)"
LENG-1162 ENGLISH 10B: SPEAKING AND WRITING FOR PROFESSIONAL PURPOSES (CICLO 2 DE 8 SEMANAS),30832,AU,I,14,"(6.5, 7.0)",11.0,"(6, 8)"
LENG-1162 ENGLISH 10B: SPEAKING AND WRITING FOR PROFESSIONAL PURPOSES (CICLO 2 DE 8 SEMANAS),30832,AU,I,14,"(7.0, 7.5)",11.0,"(6, 8)"
LENG-1162 ENGLISH 10B: SPEAKING AND WRITING FOR PROFESSIONAL PURPOSES (CICLO 2 DE 8 SEMANAS),30832,AU,I,14,"(7.5, 8.0)",11.0,"(6, 8)"
LENG-1202 FRANCES 2,72083,AU,I,7,"(6.5, 7.0)",12.0,"(6, 8)"
LENG-1202 FRANCES 2,72083,AU,I,7,"(7.0, 7.5)",12.0,"(6, 8)"
LENG-1202 FRANCES 2,72083,AU,I,7,"(7.5, 8.0)",12.0,"(6, 8)"
LENG-1701 PORTUGUES 1,72189,AU,I,10,"(6.5, 7.0)",13.0,"(6, 8)"
LENG-1701 PORTUGUES 1,72189,AU,I,10,"(7.0, 7.5)",13.0,"(6, 8)"
LENG-1701 PORTUGUES 1,72189,AU,I,10,"(7.5, 8.0)",13.0,"(6, 8)"
ETRI-5582 DERECHO TRIBUTARIO ESPECIAL 1,71107,AU,I,39,"(6.5, 7.0)",14.0,"(6, 9)"
ETRI-5582 DERECHO TRIBUTARIO ESPECIAL 1,71107,AU,I,39,"(7.0, 7.5)",14.0,"(6, 9)"
ETRI-5582 DERECHO TRIBUTARIO ESPECIAL 1,71107,AU,I,39,"(7.5, 8.0)",14.0,"(6, 9)"
ETRI-5582 DERECHO TRIBUTARIO ESPECIAL 1,71107,AU,I,39,"(8.0, 8.5)",14.0,"(6, 9)"
ETRI-5582 DERECHO TRIBUTARIO ESPECIAL 1,71107,AU,I,39,"(8.5, 9.0)",14.0,"(6, 9)"
GPUB-5602 DERECHO POLITICO Y CONSTITUCIONAL,71194,AU,I,21,"(6.5, 7.0)",15.0,"(6, 9)"
GPUB-5602 DERECHO POLITICO Y CONSTITUCIONAL,71194,AU,I,21,"(7.0, 7.5)",15.0,"(6, 9)"
GPUB-5602 DERECHO POLITICO Y CONSTITUCIONAL,71194,AU,I,21,"(7.5, 8.0)",15.0,"(6, 9)"
GPUB-5602 DERECHO POLITICO Y CONSTITUCIONAL,71194,AU,I,21,"(8.0, 8.5)",15.0,"(6, 9)"
GPUB-5602 DERECHO POLITICO Y CONSTITUCIONAL,71194,AU,I,21,"(8.5, 9.0)",15.0,"(6, 9)"
MATE-1721L LABORATORIO PRINCIPIOS MATEMÁTICOS EN MEDICINA,72948,AU,I,27,"(7.0, 7.5)",16.0,"(7, 8)"
MATE-1721L LABORATORIO PRINCIPIOS MATEMÁTICOS EN MEDICINA,72948,AU,I,27,"(7.5, 8.0)",16.0,"(7, 8)"
MATE-1721L LABORATORIO PRINCIPIOS MATEMÁTICOS EN MEDICINA,72950,AU,I,26,"(7.0, 7.5)",17.0,"(7, 8)"
MATE-1721L LABORATORIO PRINCIPIOS MATEMÁTICOS EN MEDICINA,72950,AU,I,26,"(7.5, 8.0)",17.0,"(7, 8)"
MATE-1721L LABORATORIO PRINCIPIOS MATEMÁTICOS EN MEDICINA,72951,AU,I,17,"(7.0, 7.5)",18.0,"(7, 8)"
MATE-1721L LABORATORIO PRINCIPIOS MATEMÁTICOS EN MEDICINA,72951,AU,I,17,"(7.5, 8.0)",18.0,"(7, 8)"
"ARTE-3608 HISTORIAS, TEORÍAS, ESCRITURA",65527,AU,I,20,"(7.0, 7.5)",19.0,"(7, 9)"
"ARTE-3608 HISTORIAS, TEORÍAS, ESCRITURA",65527,AU,I,20,"(7.5, 8.0)",19.0,"(7, 9)"
"ARTE-3608 HISTORIAS, TEORÍAS, ESCRITURA",65527,AU,I,20,"(8.0, 8.5)",19.0,"(7, 9)"
"ARTE-3608 HISTORIAS, TEORÍAS, ESCRITURA",65527,AU,I,20,"(8.5, 9.0)",19.0,"(7, 9)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 1 DE 8 SEMANAS),42430,AU,I,22,"(7.0, 7.5)",20.0,"(7, 9)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 1 DE 8 SEMANAS),42430,AU,I,22,"(7.5, 8.0)",20.0,"(7, 9)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 1 DE 8 SEMANAS),42430,AU,I,22,"(8.0, 8.5)",20.0,"(7, 9)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 1 DE 8 SEMANAS),42430,AU,I,22,"(8.5, 9.0)",20.0,"(7, 9)"
ESCR-1101 ESCRITURA UNIVERSITARIA I (CICLO 1 DE 8 SEMANAS),65910,AU,I,24,"(7.0, 7.5)",21.0,"(7, 9)"
ESCR-1101 ESCRITURA UNIVERSITARIA I (CICLO 1 DE 8 SEMANAS),65910,AU,I,24,"(7.5, 8.0)",21.0,"(7, 9)"
ESCR-1101 ESCRITURA UNIVERSITARIA I (CICLO 1 DE 8 SEMANAS),65910,AU,I,24,"(8.0, 8.5)",21.0,"(7, 9)"
ESCR-1101 ESCRITURA UNIVERSITARIA I (CICLO 1 DE 8 SEMANAS),65910,AU,I,24,"(8.5, 9.0)",21.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 1 DE 8 SEMANAS),51646,AU,I,20,"(7.0, 7.5)",22.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 1 DE 8 SEMANAS),51646,AU,I,20,"(7.5, 8.0)",22.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 1 DE 8 SEMANAS),51646,AU,I,20,"(8.0, 8.5)",22.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 1 DE 8 SEMANAS),51646,AU,I,20,"(8.5, 9.0)",22.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 2 DE 8 SEMANAS),51676,AU,I,23,"(7.0, 7.5)",23.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 2 DE 8 SEMANAS),51676,AU,I,23,"(7.5, 8.0)",23.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 2 DE 8 SEMANAS),51676,AU,I,23,"(8.0, 8.5)",23.0,"(7, 9)"
ESCR-1102 ESCRITURA UNIVERSITARIA II (CICLO 2 DE 8 SEMANAS),51676,AU,I,23,"(8.5, 9.0)",23.0,"(7, 9)"
CBIO-4105 BIOLOGIA DE BACTERIOFAGOS,70744,AU,I,18,"(7.0, 7.5)",24.0,"(7, 9)"
CBIO-4105 BIOLOGIA DE BACTERIOFAGOS,70744,AU,I,18,"(7.5, 8.0)",24.0,"(7, 9)"
CBIO-4105 BIOLOGIA DE BACTERIOFAGOS,70744,AU,I,18,"(8.0, 8.5)",24.0,"(7, 9)"
CBIO-4105 BIOLOGIA DE BACTERIOFAGOS,70744,AU,I,18,"(8.5, 9.0)",24.0,"(7, 9)"
MATE-1105C ÁLGEBRA LINEAL 1,72271,AU,I,18,"(8.0, 8.5)",25.0,"(8, 9)"
MATE-1105C ÁLGEBRA LINEAL 1,72271,AU,I,18,"(8.5, 9.0)",25.0,"(8, 9)"
MATE-1203C CALCULO DIFERENCIAL COMPLEMENTARIA,72597,AU,I,26,"(8.0, 8.5)",26.0,"(8, 9)"
MATE-1203C CALCULO DIFERENCIAL COMPLEMENTARIA,72597,AU,I,26,"(8.5, 9.0)",26.0,"(8, 9)"
ADMI-2606 PROY. APLICADO ORGANIZACIONES (CICLO 2 DE 8 SEMANAS),72799,AU,I,25,"(8.0, 8.5)",27.0,"(8, 10)"
ADMI-2606 PROY. APLICADO ORGANIZACIONES (CICLO 2 DE 8 SEMANAS),72799,AU,I,25,"(8.5, 9.0)",27.0,"(8, 10)"
ADMI-2606 PROY. APLICADO ORGANIZACIONES (CICLO 2 DE 8 SEMANAS),72799,AU,I,25,"(9.0, 9.5)",27.0,"(8, 10)"
ADMI-2606 PROY. APLICADO ORGANIZACIONES (CICLO 2 DE 8 SEMANAS),72799,AU,I,25,"(9.5, 10.0)",27.0,"(8, 10)"
DCHO-1201 SUJETO NORMA Y SISTEMA JURÍDIC,72060,AU,I,23,"(8.0, 8.5)",28.0,"(8, 10)"
DCHO-1201 SUJETO NORMA Y SISTEMA JURÍDIC,72060,AU,I,23,"(8.5, 9.0)",28.0,"(8, 10)"
DCHO-1201 SUJETO NORMA Y SISTEMA JURÍDIC,72060,AU,I,23,"(9.0, 9.5)",28.0,"(8, 10)"
DCHO-1201 SUJETO NORMA Y SISTEMA JURÍDIC,72060,AU,I,23,"(9.5, 10.0)",28.0,"(8, 10)"
EGOB-2602 ANÁLISIS DE REGRESIÓN LINEAL,52345,AU,I,7,"(8.0, 8.5)",29.0,"(8, 10)"
EGOB-2602 ANÁLISIS DE REGRESIÓN LINEAL,52345,AU,I,7,"(8.5, 9.0)",29.0,"(8, 10)"
EGOB-2602 ANÁLISIS DE REGRESIÓN LINEAL,52345,AU,I,7,"(9.0, 9.5)",29.0,"(8, 10)"
EGOB-2602 ANÁLISIS DE REGRESIÓN LINEAL,52345,AU,I,7,"(9.5, 10.0)",29.0,"(8, 10)"
FISI-1538P COMPLEMENTARIA Y LABORATORIO ONDAS Y FLUIDOS,72110,AU,I,17,"(8.0, 8.5)",30.0,"(8, 10)"
FISI-1538P COMPLEMENTARIA Y LABORATORIO ONDAS Y FLUIDOS,72110,AU,I,17,"(8.5, 9.0)",30.0,"(8, 10)"
FISI-1538P COMPLEMENTARIA Y LABORATORIO ONDAS Y FLUIDOS,72110,AU,I,17,"(9.0, 9.5)",30.0,"(8, 10)"
FISI-1538P COMPLEMENTARIA Y LABORATORIO ONDAS Y FLUIDOS,72110,AU,I,17,"(9.5, 10.0)",30.0,"(8, 10)"
IELE-3200 ELECTRÓNICA ANÁLOGA,10932,AU,I,25,"(8.0, 8.5)",31.0,"(8, 10)"
IELE-3200 ELECTRÓNICA ANÁLOGA,10932,AU,I,25,"(8.5, 9.0)",31.0,"(8, 10)"
IELE-3200 ELECTRÓNICA ANÁLOGA,10932,AU,I,25,"(9.0, 9.5)",31.0,"(8, 10)"
IELE-3200 ELECTRÓNICA ANÁLOGA,10932,AU,I,25,"(9.5, 10.0)",31.0,"(8, 10)"
IING-1201 RESOLVIENDO RETOS STEM,73360,AU,I,12,"(8.0, 8.5)",32.0,"(8, 10)"
IING-1201 RESOLVIENDO RETOS STEM,73360,AU,I,12,"(8.5, 9.0)",32.0,"(8, 10)"
IING-1201 RESOLVIENDO RETOS STEM,73360,AU,I,12,"(9.0, 9.5)",32.0,"(8, 10)"
IING-1201 RESOLVIENDO RETOS STEM,73360,AU,I,12,"(9.5, 10.0)",32.0,"(8, 10)"
IMEC-3532L LAB. DISEÑO DE MÁQUINAS,73008,AU,I,20,"(8.0, 8.5)",33.0,"(8, 10)"
IMEC-3532L LAB. DISEÑO DE MÁQUINAS,73008,AU,I,20,"(8.5, 9.0)",33.0,"(8, 10)"
IMEC-3532L LAB. DISEÑO DE MÁQUINAS,73008,AU,I,20,"(9.0, 9.5)",33.0,"(8, 10)"
IMEC-3532L LAB. DISEÑO DE MÁQUINAS,73008,AU,I,20,"(9.5, 10.0)",33.0,"(8, 10)"
ISIS-2503 ARQUITECTURA Y DISEÑO DE SOFTWARE,33037,AU,I,30,"(8.0, 8.5)",34.0,"(8, 10)"
ISIS-2503 ARQUITECTURA Y DISEÑO DE SOFTWARE,33037,AU,I,30,"(8.5, 9.0)",34.0,"(8, 10)"
ISIS-2503 ARQUITECTURA Y DISEÑO DE SOFTWARE,33037,AU,I,30,"(9.0, 9.5)",34.0,"(8, 10)"
ISIS-2503 ARQUITECTURA Y DISEÑO DE SOFTWARE,33037,AU,I,30,"(9.5, 10.0)",34.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27908,AU,I,21,"(8.0, 8.5)",35.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27908,AU,I,21,"(8.5, 9.0)",35.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27908,AU,I,21,"(9.0, 9.5)",35.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27908,AU,I,21,"(9.5, 10.0)",35.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27909,AU,I,23,"(8.0, 8.5)",36.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27909,AU,I,23,"(8.5, 9.0)",36.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27909,AU,I,23,"(9.0, 9.5)",36.0,"(8, 10)"
LENG-1155 ENGLISH 05 (CICLO 1 DE 8 SEMANAS),27909,AU,I,23,"(9.5, 10.0)",36.0,"(8, 10)"
LENG-1156 ENGLISH 06 (CICLO 2 DE 8 SEMANAS),72048,AU,I,19,"(8.0, 8.5)",37.0,"(8, 10)"
LENG-1156 ENGLISH 06 (CICLO 2 DE 8 SEMANAS),72048,AU,I,19,"(8.5, 9.0)",37.0,"(8, 10)"
LENG-1156 ENGLISH 06 (CICLO 2 DE 8 SEMANAS),72048,AU,I,19,"(9.0, 9.5)",37.0,"(8, 10)"
LENG-1156 ENGLISH 06 (CICLO 2 DE 8 SEMANAS),72048,AU,I,19,"(9.5, 10.0)",37.0,"(8, 10)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),69046,AU,I,22,"(8.0, 8.5)",38.0,"(8, 10)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),69046,AU,I,22,"(8.5, 9.0)",38.0,"(8, 10)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),69046,AU,I,22,"(9.0, 9.5)",38.0,"(8, 10)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),69046,AU,I,22,"(9.5, 10.0)",38.0,"(8, 10)"
LENG-1158 ENGLISH 08 - WRITING 1 (CICLO 2 DE 8 SEMANAS),65920,AU,I,19,"(8.0, 8.5)",39.0,"(8, 10)"
LENG-1158 ENGLISH 08 - WRITING 1 (CICLO 2 DE 8 SEMANAS),65920,AU,I,19,"(8.5, 9.0)",39.0,"(8, 10)"
LENG-1158 ENGLISH 08 - WRITING 1 (CICLO 2 DE 8 SEMANAS),65920,AU,I,19,"(9.0, 9.5)",39.0,"(8, 10)"
LENG-1158 ENGLISH 08 - WRITING 1 (CICLO 2 DE 8 SEMANAS),65920,AU,I,19,"(9.5, 10.0)",39.0,"(8, 10)"
LENG-1161 ENGLISH 10A SPEAKING 2 FOR ACADEMIC PURPOSES (CICLO 2 DE 8 SEMANAS),63065,AU,I,19,"(8.0, 8.5)",40.0,"(8, 10)"
LENG-1161 ENGLISH 10A SPEAKING 2 FOR ACADEMIC PURPOSES (CICLO 2 DE 8 SEMANAS),63065,AU,I,19,"(8.5, 9.0)",40.0,"(8, 10)"
LENG-1161 ENGLISH 10A SPEAKING 2 FOR ACADEMIC PURPOSES (CICLO 2 DE 8 SEMANAS),63065,AU,I,19,"(9.0, 9.5)",40.0,"(8, 10)"
LENG-1161 ENGLISH 10A SPEAKING 2 FOR ACADEMIC PURPOSES (CICLO 2 DE 8 SEMANAS),63065,AU,I,19,"(9.5, 10.0)",40.0,"(8, 10)"
LENG-2232 FRANÇAIS INTERMÉDIAIRE,57399,AU,I,11,"(8.0, 8.5)",41.0,"(8, 10)"
LENG-2232 FRANÇAIS INTERMÉDIAIRE,57399,AU,I,11,"(8.5, 9.0)",41.0,"(8, 10)"
LENG-2232 FRANÇAIS INTERMÉDIAIRE,57399,AU,I,11,"(9.0, 9.5)",41.0,"(8, 10)"
LENG-2232 FRANÇAIS INTERMÉDIAIRE,57399,AU,I,11,"(9.5, 10.0)",41.0,"(8, 10)"
LENG-2235 FRANÇAIS INTERMÉDIAIRE SUPÉRIEUR,51514,AU,I,10,"(8.0, 8.5)",42.0,"(8, 10)"
LENG-2235 FRANÇAIS INTERMÉDIAIRE SUPÉRIEUR,51514,AU,I,10,"(8.5, 9.0)",42.0,"(8, 10)"
LENG-2235 FRANÇAIS INTERMÉDIAIRE SUPÉRIEUR,51514,AU,I,10,"(9.0, 9.5)",42.0,"(8, 10)"
LENG-2235 FRANÇAIS INTERMÉDIAIRE SUPÉRIEUR,51514,AU,I,10,"(9.5, 10.0)",42.0,"(8, 10)"
MATE-1207 CÁLCULO VECTORIAL,39064,AU,I,19,"(8.0, 8.5)",43.0,"(8, 10)"
MATE-1207 CÁLCULO VECTORIAL,39064,AU,I,19,"(8.5, 9.0)",43.0,"(8, 10)"
MATE-1207 CÁLCULO VECTORIAL,39064,AU,I,19,"(9.0, 9.5)",43.0,"(8, 10)"
MATE-1207 CÁLCULO VECTORIAL,39064,AU,I,19,"(9.5, 10.0)",43.0,"(8, 10)"
MUSI-1144 CREACIÓN Y GESTIÓN DE PROYECTOS MUSICALES,71750,AU,I,9,"(8.0, 8.5)",44.0,"(8, 10)"
MUSI-1144 CREACIÓN Y GESTIÓN DE PROYECTOS MUSICALES,71750,AU,I,9,"(8.5, 9.0)",44.0,"(8, 10)"
MUSI-1144 CREACIÓN Y GESTIÓN DE PROYECTOS MUSICALES,71750,AU,I,9,"(9.0, 9.5)",44.0,"(8, 10)"
MUSI-1144 CREACIÓN Y GESTIÓN DE PROYECTOS MUSICALES,71750,AU,I,9,"(9.5, 10.0)",44.0,"(8, 10)"
CPER-1101 TALLER ESCRITURAL (CICLO 1 DE 8 SEMANAS),36666,AU,I,22,"(9.0, 9.5)",45.0,"(9, 11)"
CPER-1101 TALLER ESCRITURAL (CICLO 1 DE 8 SEMANAS),36666,AU,I,22,"(9.5, 10.0)",45.0,"(9, 11)"
CPER-1101 TALLER ESCRITURAL (CICLO 1 DE 8 SEMANAS),36666,AU,I,22,"(10.0, 10.5)",45.0,"(9, 11)"
CPER-1101 TALLER ESCRITURAL (CICLO 1 DE 8 SEMANAS),36666,AU,I,22,"(10.5, 11.0)",45.0,"(9, 11)"
CPER-1101 TALLER ESCRITURAL (CICLO 2 DE 8 SEMANAS),42448,AU,I,22,"(9.0, 9.5)",46.0,"(9, 11)"
CPER-1101 TALLER ESCRITURAL (CICLO 2 DE 8 SEMANAS),42448,AU,I,22,"(9.5, 10.0)",46.0,"(9, 11)"
CPER-1101 TALLER ESCRITURAL (CICLO 2 DE 8 SEMANAS),42448,AU,I,22,"(10.0, 10.5)",46.0,"(9, 11)"
CPER-1101 TALLER ESCRITURAL (CICLO 2 DE 8 SEMANAS),42448,AU,I,22,"(10.5, 11.0)",46.0,"(9, 11)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 2 DE 8 SEMANAS),45139,AU,I,18,"(9.0, 9.5)",47.0,"(9, 11)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 2 DE 8 SEMANAS),45139,AU,I,18,"(9.5, 10.0)",47.0,"(9, 11)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 2 DE 8 SEMANAS),45139,AU,I,18,"(10.0, 10.5)",47.0,"(9, 11)"
CPER-2101 NARRATIVA ESCRITURAL 1 (NO FICCIÓN) (CICLO 2 DE 8 SEMANAS),45139,AU,I,18,"(10.5, 11.0)",47.0,"(9, 11)"
FISI-4040 MECANICA ESTADISTICA,71145,AU,I,9,"(9.0, 9.5)",48.0,"(9, 11)"
FISI-4040 MECANICA ESTADISTICA,71145,AU,I,9,"(9.5, 10.0)",48.0,"(9, 11)"
FISI-4040 MECANICA ESTADISTICA,71145,AU,I,9,"(10.0, 10.5)",48.0,"(9, 11)"
FISI-4040 MECANICA ESTADISTICA,71145,AU,I,9,"(10.5, 11.0)",48.0,"(9, 11)"
MEDI-1223 MEDICINA PARA PRINCIPIANTES,66731,AU,I,16,"(9.0, 9.5)",49.0,"(9, 11)"
MEDI-1223 MEDICINA PARA PRINCIPIANTES,66731,AU,I,16,"(9.5, 10.0)",49.0,"(9, 11)"
MEDI-1223 MEDICINA PARA PRINCIPIANTES,66731,AU,I,16,"(10.0, 10.5)",49.0,"(9, 11)"
MEDI-1223 MEDICINA PARA PRINCIPIANTES,66731,AU,I,16,"(10.5, 11.0)",49.0,"(9, 11)"
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),55200,AU,I,35,"(9.0, 9.5)",50.0,"(9, 11)"
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),55200,AU,I,35,"(9.5, 10.0)",50.0,"(9, 11)"
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),55200,AU,I,35,"(10.0, 10.5)",50.0,"(9, 11)"
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),55200,AU,I,35,"(10.5, 11.0)",50.0,"(9, 11)"
CHNA-1801 CHINO1,10237,AU,I,8,"(9.0, 9.5)",51.0,"(9, 11)"
CHNA-1801 CHINO1,10237,AU,I,8,"(9.5, 10.0)",51.0,"(9, 11)"
CHNA-1801 CHINO1,10237,AU,I,8,"(10.0, 10.5)",51.0,"(9, 11)"
CHNA-1801 CHINO1,10237,AU,I,8,"(10.5, 11.0)",51.0,"(9, 11)"
CHNA-1802 CHINO 2,52625,AU,I,7,"(9.0, 9.5)",52.0,"(9, 11)"
CHNA-1802 CHINO 2,52625,AU,I,7,"(9.5, 10.0)",52.0,"(9, 11)"
CHNA-1802 CHINO 2,52625,AU,I,7,"(10.0, 10.5)",52.0,"(9, 11)"
CHNA-1802 CHINO 2,52625,AU,I,7,"(10.5, 11.0)",52.0,"(9, 11)"
CHNA-1803 CHINO 3,20660,AU,I,5,"(9.0, 9.5)",53.0,"(9, 11)"
CHNA-1803 CHINO 3,20660,AU,I,5,"(9.5, 10.0)",53.0,"(9, 11)"
CHNA-1803 CHINO 3,20660,AU,I,5,"(10.0, 10.5)",53.0,"(9, 11)"
CHNA-1803 CHINO 3,20660,AU,I,5,"(10.5, 11.0)",53.0,"(9, 11)"
